,group,filepath,subgroup
0,DorothyDay,./data_dsicap/DorothyDay/raw/581.html.txt,train41
1,DorothyDay,./data_dsicap/DorothyDay/raw/370.html.txt,train44
2,DorothyDay,./data_dsicap/DorothyDay/raw/374.html.txt,test16
3,DorothyDay,./data_dsicap/DorothyDay/raw/220.html.txt,train29
4,DorothyDay,./data_dsicap/DorothyDay/raw/276.html.txt,train22
5,DorothyDay,./data_dsicap/DorothyDay/raw/429.html.txt,test11
6,DorothyDay,./data_dsicap/DorothyDay/raw/866.html.txt,train48
7,DorothyDay,./data_dsicap/DorothyDay/raw/464.html.txt,train16
8,DorothyDay,./data_dsicap/DorothyDay/raw/891.html.txt,test04
9,DorothyDay,./data_dsicap/DorothyDay/raw/515.html.txt,train32
10,DorothyDay,./data_dsicap/DorothyDay/raw/852.html.txt,train25
11,DorothyDay,./data_dsicap/DorothyDay/raw/676.html.txt,train53
12,DorothyDay,./data_dsicap/DorothyDay/raw/579.html.txt,train29
13,DorothyDay,./data_dsicap/DorothyDay/raw/270.html.txt,train51
14,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,train20
15,DorothyDay,./data_dsicap/DorothyDay/raw/694.html.txt,train09
16,DorothyDay,./data_dsicap/DorothyDay/raw/861.html.txt,train49
17,DorothyDay,./data_dsicap/DorothyDay/raw/596.html.txt,train15
18,DorothyDay,./data_dsicap/DorothyDay/raw/834.html.txt,train08
19,DorothyDay,./data_dsicap/DorothyDay/raw/454.html.txt,train04
20,DorothyDay,./data_dsicap/DorothyDay/raw/317.html.txt,train01
21,DorothyDay,./data_dsicap/DorothyDay/raw/283.html.txt,test08
22,DorothyDay,./data_dsicap/DorothyDay/raw/513.html.txt,train46
23,DorothyDay,./data_dsicap/DorothyDay/raw/902.html.txt,train23
24,DorothyDay,./data_dsicap/DorothyDay/raw/203.html.txt,test11
25,DorothyDay,./data_dsicap/DorothyDay/raw/15.html.txt,train03
26,DorothyDay,./data_dsicap/DorothyDay/raw/452.html.txt,test20
27,DorothyDay,./data_dsicap/DorothyDay/raw/631.html.txt,train32
28,DorothyDay,./data_dsicap/DorothyDay/raw/666.html.txt,train30
29,DorothyDay,./data_dsicap/DorothyDay/raw/385.html.txt,test14
30,DorothyDay,./data_dsicap/DorothyDay/raw/594.html.txt,train31
31,DorothyDay,./data_dsicap/DorothyDay/raw/793.html.txt,test12
32,DorothyDay,./data_dsicap/DorothyDay/raw/863.html.txt,train52
33,DorothyDay,./data_dsicap/DorothyDay/raw/42.html.txt,test23
34,DorothyDay,./data_dsicap/DorothyDay/raw/440.html.txt,train24
35,DorothyDay,./data_dsicap/DorothyDay/raw/214.html.txt,train39
36,DorothyDay,./data_dsicap/DorothyDay/raw/941.html.txt,train35
37,DorothyDay,./data_dsicap/DorothyDay/raw/812.html.txt,train05
38,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,train18
39,DorothyDay,./data_dsicap/DorothyDay/raw/301.html.txt,train18
40,DorothyDay,./data_dsicap/DorothyDay/raw/389.html.txt,test01
41,DorothyDay,./data_dsicap/DorothyDay/raw/574.html.txt,train13
42,DorothyDay,./data_dsicap/DorothyDay/raw/527.html.txt,test05
43,DorothyDay,./data_dsicap/DorothyDay/raw/217.html.txt,test01
44,DorothyDay,./data_dsicap/DorothyDay/raw/583.html.txt,train28
45,DorothyDay,./data_dsicap/DorothyDay/raw/242.html.txt,train38
46,DorothyDay,./data_dsicap/DorothyDay/raw/909.html.txt,test15
47,DorothyDay,./data_dsicap/DorothyDay/raw/651.html.txt,test21
48,DorothyDay,./data_dsicap/DorothyDay/raw/788.html.txt,train36
49,DorothyDay,./data_dsicap/DorothyDay/raw/890.html.txt,train08
50,DorothyDay,./data_dsicap/DorothyDay/raw/658.html.txt,train02
51,DorothyDay,./data_dsicap/DorothyDay/raw/528.html.txt,train01
52,DorothyDay,./data_dsicap/DorothyDay/raw/598.html.txt,train36
53,DorothyDay,./data_dsicap/DorothyDay/raw/518.html.txt,train41
54,DorothyDay,./data_dsicap/DorothyDay/raw/289.html.txt,train15
55,DorothyDay,./data_dsicap/DorothyDay/raw/375.html.txt,train12
56,DorothyDay,./data_dsicap/DorothyDay/raw/377.html.txt,train46
57,DorothyDay,./data_dsicap/DorothyDay/raw/490.html.txt,train22
58,DorothyDay,./data_dsicap/DorothyDay/raw/334.html.txt,train30
59,DorothyDay,./data_dsicap/DorothyDay/raw/828.html.txt,train46
60,DorothyDay,./data_dsicap/DorothyDay/raw/900.html.txt,train32
61,DorothyDay,./data_dsicap/DorothyDay/raw/715.html.txt,train18
62,DorothyDay,./data_dsicap/DorothyDay/raw/382.html.txt,test18
63,DorothyDay,./data_dsicap/DorothyDay/raw/936.html.txt,test01
64,DorothyDay,./data_dsicap/DorothyDay/raw/734.html.txt,train35
65,DorothyDay,./data_dsicap/DorothyDay/raw/529.html.txt,train27
66,DorothyDay,./data_dsicap/DorothyDay/raw/759.html.txt,train04
67,DorothyDay,./data_dsicap/DorothyDay/raw/363.html.txt,train40
68,DorothyDay,./data_dsicap/DorothyDay/raw/191.html.txt,train11
69,DorothyDay,./data_dsicap/DorothyDay/raw/313.html.txt,train09
70,DorothyDay,./data_dsicap/DorothyDay/raw/248.html.txt,train43
71,DorothyDay,./data_dsicap/DorothyDay/raw/302.html.txt,train05
72,DorothyDay,./data_dsicap/DorothyDay/raw/468.html.txt,train08
73,DorothyDay,./data_dsicap/DorothyDay/raw/176.html.txt,test07
74,DorothyDay,./data_dsicap/DorothyDay/raw/789.html.txt,train00
75,DorothyDay,./data_dsicap/DorothyDay/raw/16.html.txt,test02
76,DorothyDay,./data_dsicap/DorothyDay/raw/824.html.txt,train10
77,DorothyDay,./data_dsicap/DorothyDay/raw/533.html.txt,train48
78,DorothyDay,./data_dsicap/DorothyDay/raw/310.html.txt,test06
79,DorothyDay,./data_dsicap/DorothyDay/raw/938.html.txt,train10
80,DorothyDay,./data_dsicap/DorothyDay/raw/730.html.txt,test00
81,DorothyDay,./data_dsicap/DorothyDay/raw/292.html.txt,train31
82,DorothyDay,./data_dsicap/DorothyDay/raw/303.html.txt,train44
83,DorothyDay,./data_dsicap/DorothyDay/raw/368.html.txt,test13
84,DorothyDay,./data_dsicap/DorothyDay/raw/683.html.txt,train32
85,DorothyDay,./data_dsicap/DorothyDay/raw/727.html.txt,train22
86,DorothyDay,./data_dsicap/DorothyDay/raw/745.html.txt,train08
87,DorothyDay,./data_dsicap/DorothyDay/raw/934.html.txt,train17
88,DorothyDay,./data_dsicap/DorothyDay/raw/819.html.txt,train12
89,DorothyDay,./data_dsicap/DorothyDay/raw/274.html.txt,train40
90,DorothyDay,./data_dsicap/DorothyDay/raw/795.html.txt,test15
91,DorothyDay,./data_dsicap/DorothyDay/raw/848.html.txt,train00
92,DorothyDay,./data_dsicap/DorothyDay/raw/258.html.txt,train02
93,DorothyDay,./data_dsicap/DorothyDay/raw/330.html.txt,test21
94,DorothyDay,./data_dsicap/DorothyDay/raw/512.html.txt,test23
95,DorothyDay,./data_dsicap/DorothyDay/raw/510.html.txt,train39
96,DorothyDay,./data_dsicap/DorothyDay/raw/479.html.txt,train13
97,DorothyDay,./data_dsicap/DorothyDay/raw/560.html.txt,train44
98,DorothyDay,./data_dsicap/DorothyDay/raw/611.html.txt,train14
99,DorothyDay,./data_dsicap/DorothyDay/raw/172.html.txt,train22
100,DorothyDay,./data_dsicap/DorothyDay/raw/661.html.txt,test04
101,DorothyDay,./data_dsicap/DorothyDay/raw/153.html.txt,train07
102,DorothyDay,./data_dsicap/DorothyDay/raw/702.html.txt,test07
103,DorothyDay,./data_dsicap/DorothyDay/raw/716.html.txt,test08
104,DorothyDay,./data_dsicap/DorothyDay/raw/216.html.txt,train33
105,DorothyDay,./data_dsicap/DorothyDay/raw/430.html.txt,train23
106,DorothyDay,./data_dsicap/DorothyDay/raw/609.html.txt,train13
107,DorothyDay,./data_dsicap/DorothyDay/raw/627.html.txt,test17
108,DorothyDay,./data_dsicap/DorothyDay/raw/358.html.txt,train18
109,DorothyDay,./data_dsicap/DorothyDay/raw/823.html.txt,train38
110,DorothyDay,./data_dsicap/DorothyDay/raw/707.html.txt,train40
111,DorothyDay,./data_dsicap/DorothyDay/raw/580.html.txt,test12
112,DorothyDay,./data_dsicap/DorothyDay/raw/783.html.txt,test01
113,DorothyDay,./data_dsicap/DorothyDay/raw/606.html.txt,test10
114,DorothyDay,./data_dsicap/DorothyDay/raw/687.html.txt,train02
115,DorothyDay,./data_dsicap/DorothyDay/raw/396.html.txt,train32
116,DorothyDay,./data_dsicap/DorothyDay/raw/605.html.txt,train41
117,DorothyDay,./data_dsicap/DorothyDay/raw/232.html.txt,test07
118,DorothyDay,./data_dsicap/DorothyDay/raw/254.html.txt,train50
119,DorothyDay,./data_dsicap/DorothyDay/raw/480.html.txt,train48
120,DorothyDay,./data_dsicap/DorothyDay/raw/650.html.txt,train27
121,DorothyDay,./data_dsicap/DorothyDay/raw/307.html.txt,test02
122,DorothyDay,./data_dsicap/DorothyDay/raw/736.html.txt,train16
123,DorothyDay,./data_dsicap/DorothyDay/raw/260.html.txt,train21
124,DorothyDay,./data_dsicap/DorothyDay/raw/699.html.txt,train40
125,DorothyDay,./data_dsicap/DorothyDay/raw/857.html.txt,test09
126,DorothyDay,./data_dsicap/DorothyDay/raw/352.html.txt,train37
127,DorothyDay,./data_dsicap/DorothyDay/raw/802.html.txt,train00
128,DorothyDay,./data_dsicap/DorothyDay/raw/450.html.txt,test12
129,DorothyDay,./data_dsicap/DorothyDay/raw/264.html.txt,train42
130,DorothyDay,./data_dsicap/DorothyDay/raw/383.html.txt,test08
131,DorothyDay,./data_dsicap/DorothyDay/raw/299.html.txt,train37
132,DorothyDay,./data_dsicap/DorothyDay/raw/646.html.txt,test16
133,DorothyDay,./data_dsicap/DorothyDay/raw/401.html.txt,train36
134,DorothyDay,./data_dsicap/DorothyDay/raw/474.html.txt,train28
135,DorothyDay,./data_dsicap/DorothyDay/raw/782.html.txt,test07
136,DorothyDay,./data_dsicap/DorothyDay/raw/530.html.txt,train03
137,DorothyDay,./data_dsicap/DorothyDay/raw/743.html.txt,test09
138,DorothyDay,./data_dsicap/DorothyDay/raw/170.html.txt,test12
139,DorothyDay,./data_dsicap/DorothyDay/raw/199.html.txt,train53
140,DorothyDay,./data_dsicap/DorothyDay/raw/632.html.txt,test07
141,DorothyDay,./data_dsicap/DorothyDay/raw/644.html.txt,train50
142,DorothyDay,./data_dsicap/DorothyDay/raw/12.html.txt,train33
143,DorothyDay,./data_dsicap/DorothyDay/raw/840.html.txt,train37
144,DorothyDay,./data_dsicap/DorothyDay/raw/506.html.txt,train17
145,DorothyDay,./data_dsicap/DorothyDay/raw/231.html.txt,train31
146,DorothyDay,./data_dsicap/DorothyDay/raw/244.html.txt,train47
147,DorothyDay,./data_dsicap/DorothyDay/raw/146.html.txt,train24
148,DorothyDay,./data_dsicap/DorothyDay/raw/643.html.txt,train32
149,DorothyDay,./data_dsicap/DorothyDay/raw/279.html.txt,train12
150,DorothyDay,./data_dsicap/DorothyDay/raw/898.html.txt,test20
151,DorothyDay,./data_dsicap/DorothyDay/raw/174.html.txt,train03
152,DorothyDay,./data_dsicap/DorothyDay/raw/937.html.txt,train51
153,DorothyDay,./data_dsicap/DorothyDay/raw/268.html.txt,train49
154,DorothyDay,./data_dsicap/DorothyDay/raw/357.html.txt,train38
155,DorothyDay,./data_dsicap/DorothyDay/raw/467.html.txt,train42
156,DorothyDay,./data_dsicap/DorothyDay/raw/555.html.txt,train27
157,DorothyDay,./data_dsicap/DorothyDay/raw/576.html.txt,train11
158,DorothyDay,./data_dsicap/DorothyDay/raw/420.html.txt,test06
159,DorothyDay,./data_dsicap/DorothyDay/raw/353.html.txt,train03
160,DorothyDay,./data_dsicap/DorothyDay/raw/145.html.txt,train11
161,DorothyDay,./data_dsicap/DorothyDay/raw/361.html.txt,test09
162,DorothyDay,./data_dsicap/DorothyDay/raw/439.html.txt,train10
163,DorothyDay,./data_dsicap/DorothyDay/raw/913.html.txt,train13
164,DorothyDay,./data_dsicap/DorothyDay/raw/227.html.txt,test12
165,DorothyDay,./data_dsicap/DorothyDay/raw/463.html.txt,train42
166,DorothyDay,./data_dsicap/DorothyDay/raw/538.html.txt,train39
167,DorothyDay,./data_dsicap/DorothyDay/raw/713.html.txt,test01
168,DorothyDay,./data_dsicap/DorothyDay/raw/670.html.txt,train25
169,DorothyDay,./data_dsicap/DorothyDay/raw/511.html.txt,train43
170,DorothyDay,./data_dsicap/DorothyDay/raw/197.html.txt,test09
171,DorothyDay,./data_dsicap/DorothyDay/raw/269.html.txt,train28
172,DorothyDay,./data_dsicap/DorothyDay/raw/298.html.txt,train17
173,DorothyDay,./data_dsicap/DorothyDay/raw/320.html.txt,train30
174,DorothyDay,./data_dsicap/DorothyDay/raw/502.html.txt,train28
175,DorothyDay,./data_dsicap/DorothyDay/raw/855.html.txt,train50
176,DorothyDay,./data_dsicap/DorothyDay/raw/552.html.txt,train14
177,DorothyDay,./data_dsicap/DorothyDay/raw/448.html.txt,train50
178,DorothyDay,./data_dsicap/DorothyDay/raw/914.html.txt,test02
179,DorothyDay,./data_dsicap/DorothyDay/raw/500.html.txt,train19
180,DorothyDay,./data_dsicap/DorothyDay/raw/155.html.txt,train52
181,DorothyDay,./data_dsicap/DorothyDay/raw/156.html.txt,train18
182,DorothyDay,./data_dsicap/DorothyDay/raw/372.html.txt,train50
183,DorothyDay,./data_dsicap/DorothyDay/raw/589.html.txt,train49
184,DorothyDay,./data_dsicap/DorothyDay/raw/705.html.txt,train43
185,DorothyDay,./data_dsicap/DorothyDay/raw/561.html.txt,train19
186,DorothyDay,./data_dsicap/DorothyDay/raw/497.html.txt,test07
187,DorothyDay,./data_dsicap/DorothyDay/raw/413.html.txt,train40
188,DorothyDay,./data_dsicap/DorothyDay/raw/904.html.txt,train22
189,DorothyDay,./data_dsicap/DorothyDay/raw/478.html.txt,train50
190,DorothyDay,./data_dsicap/DorothyDay/raw/453.html.txt,test17
191,DorothyDay,./data_dsicap/DorothyDay/raw/445.html.txt,test00
192,DorothyDay,./data_dsicap/DorothyDay/raw/407.html.txt,train43
193,DorothyDay,./data_dsicap/DorothyDay/raw/856.html.txt,train07
194,DorothyDay,./data_dsicap/DorothyDay/raw/427.html.txt,train27
195,DorothyDay,./data_dsicap/DorothyDay/raw/412.html.txt,train47
196,DorothyDay,./data_dsicap/DorothyDay/raw/485.html.txt,train54
197,DorothyDay,./data_dsicap/DorothyDay/raw/534.html.txt,train38
198,DorothyDay,./data_dsicap/DorothyDay/raw/808.html.txt,train33
199,DorothyDay,./data_dsicap/DorothyDay/raw/843.html.txt,train24
200,DorothyDay,./data_dsicap/DorothyDay/raw/456.html.txt,test18
201,DorothyDay,./data_dsicap/DorothyDay/raw/419.html.txt,test06
202,DorothyDay,./data_dsicap/DorothyDay/raw/165.html.txt,train49
203,DorothyDay,./data_dsicap/DorothyDay/raw/689.html.txt,train22
204,DorothyDay,./data_dsicap/DorothyDay/raw/297.html.txt,train28
205,DorothyDay,./data_dsicap/DorothyDay/raw/364.html.txt,train05
206,DorothyDay,./data_dsicap/DorothyDay/raw/585.html.txt,train41
207,DorothyDay,./data_dsicap/DorothyDay/raw/849.html.txt,train35
208,DorothyDay,./data_dsicap/DorothyDay/raw/503.html.txt,train03
209,DorothyDay,./data_dsicap/DorothyDay/raw/818.html.txt,train41
210,DorothyDay,./data_dsicap/DorothyDay/raw/5.html.txt,test00
211,DorothyDay,./data_dsicap/DorothyDay/raw/771.html.txt,train34
212,DorothyDay,./data_dsicap/DorothyDay/raw/889.html.txt,train48
213,DorothyDay,./data_dsicap/DorothyDay/raw/888.html.txt,test17
214,DorothyDay,./data_dsicap/DorothyDay/raw/775.html.txt,train36
215,DorothyDay,./data_dsicap/DorothyDay/raw/575.html.txt,test15
216,DorothyDay,./data_dsicap/DorothyDay/raw/158.html.txt,train19
