"","Actual","ANN","OL","RF","SVM"
"1",4,4.90739616919649,0,5.2725,4.71105815716045
"2",4,4.90475047617363,0,5.193,5.02009949736847
"3",4,4.90764033158338,0,4.77316666666667,4.35307545046749
"4",4,4.9076403628918,0,5.41516666666667,5.79194944315513
"5",4,4.9041978933128,0,5.016,4.93276334556537
"6",4,4.90577998015638,0,5.2655,6.71168520332881
"7",4,4.90764036705465,0,4.6705,5.05514120171183
"8",4,4.90459548010024,0,5.50716666666667,6.51498804820119
"9",4,4.90506485070771,0,4.86066666666667,5.10662322005037
"10",4,4.90763985356059,0,5.29933333333333,5.95743665825871
"11",4,4.81298372459814,0,5.53233333333333,6.31515679887752
"12",4,4.90741640198001,0,5.014,4.43328397847738
"13",4,4.90761803013679,0,4.91133333333333,6.39889863264618
"14",4,4.72267495759194,0,5.2885,4.8076516640511
"15",4,4.81351380587901,0,5.11283333333333,5.30051815183444
"16",4,4.90742093437705,0,5.056,6.14287009497217
"17",4,4.88327279139952,0,5.01916666666667,5.26865720724457
"18",4,4.90616477015128,0,5.3,6.46286761603538
"19",4,4.89930395854887,0,4.8875,5.66094594884765
"20",4,3.81045160997218,0,4.9235,5.40676275509815
"21",4,4.90737135688788,0,4.82216666666667,4.56543283713179
"22",4,4.90764036290196,0,4.6085,4.83002475297814
"23",4,2.18115550178487,0,5.05766666666667,4.66574371448654
"78",4,0.57550361174182,0,3.8815,3.65802311685708
"79",4,0.577725771496192,0,4.1055,3.65802311685708
"80",4,0.575725841631777,0,3.669,3.65802311685708
"81",4,0.575625020932008,0,3.3275,3.65802311685708
"82",4,0.575694670864602,0,3.66,3.65802311685708
"83",4,0.584040642084747,0,4.01216666666667,3.65802311685708
"84",4,0.575546124421392,0,4.001,3.65802311685708
"85",4,0.575449017108241,0,3.8685,3.65802311685708
"86",4,0.577394231417776,0,3.834,3.65802311685708
"87",4,0.580429769923447,0,3.947,3.65802311685708
"88",4,0.576327575446357,0,3.8725,3.65802311685708
"89",4,0.575796940511817,0,4.209,3.65802311685708
"90",4,2.01437810128389,0,3.02833333333333,3.59957996652334
